,Model Name,More Info,Years,Production,Engine,Power,Torque,0-60 mph,Top Speed
53,Ferrari 208 GT4,https://www.supercars.net/blog/category/brand/ferrari/ferrari-dino-208-gt4/,1976 - 1980,N/A,2.0 L Dino V8,167 bhp @ 7700 rpm,137 lb/ft @ 4900 rpm,N/A,137 mph
54,Ferrari 365 GT4 BB,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-berlinetta-boxer/ferrari-365-gt4-bb/,1973 - 1976,387 units,4.4 L Nat Asp Flat-12,339 bhp @ 7200 rpm,335 lb/ft @ 6200 rpm,5.4 seconds,188 mph
55,Ferrari 512 BB,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-berlinetta-boxer/ferrari-512-bb/,1976 - 1981,929 units,4.9 L Nat Asp Flat-12,360 bhp @ 6200 rpm,332 lb/ft @ 4600 rpm,5.5 seconds,160 mph
56,Ferrari 512 BBi,https://www.supercars.net/blog/category/brand/ferrari/ferrari-512i-bb,1981 - 1984,"1,007 units",4.9 L Nat Asp Flat-12,340 bhp @ 6000 rpm,332 lb/ft @ 4200 rpm,5.4 seconds,174 mph
57,Ferrari 308 GTB Vetroresina,https://www.supercars.net/blog/category/brand/ferrari/ferrari-308-gtb/,1975 - 1977,808 units,2.9 L Nat Asp V8,255 bhp @ 7500 rpm,210 lb/ft @ 5000 rpm,6.2 seconds,155 mph
58,Ferrari 308 GTB,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-208-308-328/ferrari-308-gtb/,1975 - 1980,"2,185 units",2.9 L Nat Asp V8,255 bhp @ 7500 rpm,210 lb/ft @ 5000 rpm,6.2 seconds,155 mph
59,Ferrari 308 GTS,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-208-308-328/ferrari-308-gts/,1977 - 1980,"3,219 units",2.9 L Nat Asp V8,255 bhp @ 7500 rpm,210 lb/ft @ 5000 rpm,6.2 seconds,155 mph
60,Ferrari 208 GTB,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-208-308-328/ferrari-208-gtb/,1980 - 1981,160 units,2.0 L Nat Asp V8,153 bhp @ 6800 rpm,125 lb/ft @ 4200 rpm,6.8 seconds,134 mph
61,Ferrari 208 GTS,https://www.supercars.net/blog/category/brand/ferrari/ferrari-208-gts/,1980 - 1981,140 units,2.0 L Nat Asp V8,153 bhp @ 6800 rpm,125 lb/ft @ 4200 rpm,6.8 seconds,134 mph
62,Ferrari 308 GTBi,https://www.supercars.net/blog/category/brand/ferrari/ferrari-308-gtbi/,1980 - 1983,494 units,2.9 L Nat Asp V8,214 bhp @ 6600 rpm,179 lb/ft @ 4600 rpm,N/A,149 mph
63,Ferrari 308 GTSi,https://www.supercars.net/blog/category/brand/ferrari/ferrari-308-gtsi/,1980 - 1983,"1,743 units",2.9 L Nat Asp V8,214 bhp @ 6600 rpm,179 lb/ft @ 4600 rpm,N/A,149 mph
64,Ferrari 208 GTB Turbo,https://www.supercars.net/blog/category/brand/ferrari/ferrari-208-gtb-turbo/,1982 - 1985,437 units,2.0 L Turbo V8,217 bhp @ 7000 rpm,177 lb/ft @ 4800 rpm,6.6 seconds,150 mph
65,Ferrari 208 GTS Turbo,https://www.supercars.net/blog/category/brand/ferrari/ferrari-208-gts-turbo/,1982 - 1985,250 units,2.0 L Turbo V8,217 bhp @ 7000 rpm,177 lb/ft @ 4800 rpm,6.6 seconds,150 mph
66,Ferrari 308 GTB Quattrovalvole,https://www.supercars.net/blog/category/brand/ferrari/ferrari-308-gtb-quattrovalvole/,1982 - 1985,748 units,2.9 L Nat Asp V8,237 bhp @ 7000 rpm,191 lb/ft @ 5000 rpm,6.7 seconds,156 mph
67,Ferrari 308 GTS Quattrovalvole,https://www.supercars.net/blog/category/brand/ferrari/ferrari-308-gts-quattrovalvole/,1982 - 1985,"3,042 units",2.9 L Nat Asp V8,237 bhp @ 7000 rpm,191 lb/ft @ 5000 rpm,6.7 seconds,156 mph
68,Ferrari 288 GTO,https://www.supercars.net/blog/category/brand/ferrari/ferrari-288-gto/,1984 - 1987,272 units,2.9L twin-turbo V8,"394 bhp @ 7,000 rpm",366 lb/ft @ 3800 rpm,4.8 seconds,189 mph
69,Ferrari 328 GTB,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-208-308-328/ferrari-328-gtb/,1986 - 1989,"1,344 units",3.2 L Nat Asp V8,270 bhp @ 7000 rpm,231 lb/ft @ 5500 rpm,5.5 seconds,166 mph
70,Ferrari 328 GTB,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-208-308-328/ferrari-328-gts/,1986 - 1989,"6,068 units",3.2 L Nat Asp V8,270 bhp @ 7000 rpm,231 lb/ft @ 5500 rpm,5.5 seconds,166 mph
71,Ferrari GTB Turbo,https://www.supercars.net/blog/category/brand/ferrari/ferrari-gtb-turbo/,1986 - 1989,N/A,2.0 L Turbo V8,251 bhp @ 6500 rpm,242 lb/ft @ 4100 rpm,6.3 seconds,157 mph
72,Ferrari GTS Turbo,https://www.supercars.net/blog/category/brand/ferrari/ferrari-gts-turbo/,1986 - 1989,N/A,2.0 L Turbo V8,251 bhp @ 6500 rpm,242 lb/ft @ 4100 rpm,6.3 seconds,157 mph
73,Ferrari Mondial 8,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-mondial/ferrari-mondial-8/,1981 - 1982,703 units,3.0 L Nat Asp V8,214 bhp @ 6600 rpm,181 lb/ft @ 4600 rpm,9.4 seconds,143 mph
74,Ferrari Mondial QV,https://www.supercars.net/blog/category/brand/ferrari/ferrari-mondial-quattrovalvole,1982 - 1985,1145 units,3.0 L Nat Asp V8,237 bhp @ 7000 rpm,191 lb/ft @ 5000 rpm,7.4 seconds,150 mph
75,Ferrari Mondial Cabriolet,https://www.supercars.net/blog/category/brand/ferrari/ferrari-mondial-quattrovalvole-cabriolet,1983 - 1985,629 units,3.0 L Nat Asp V8,237 bhp @ 7000 rpm,191 lb/ft @ 5000 rpm,7.4 seconds,150 mph
76,Ferrari 3.2 Mondial,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-mondial/ferrari-3-2-mondial/,1985 - 1988,987 units,3.2 L Nat Asp V8,270 bhp @ 7000 rpm,224 lb/ft @ 5500 rpm,7.4 seconds,155 mph
77,Ferrari 3.2 Mondial Cabriolet,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-mondial/ferrari-3-2-mondial/,1985 - 1988,810 units,3.2 L Nat Asp V8,270 bhp @ 7000 rpm,224 lb/ft @ 5500 rpm,7.4 seconds,155 mph
78,Ferrari Mondial T,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-mondial/ferrari-mondial-t/,1989 - 1993,858 units,3.4 L Nat Asp V8,300 bhp @ 7200 rpm,238 lb/ft @ 4200 rpm,6.6 seconds,159 mph
79,Ferrari Mondial T Cabriolet,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-mondial/ferrari-mondial-t/,1989 - 1993,"1,017 units",3.4 L Nat Asp V8,300 bhp @ 7200 rpm,238 lb/ft @ 4200 rpm,6.6 seconds,159 mph
80,Ferrari Testarossa,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-testarossa/testarossa/,1984 - 1991,"7,177 units",4.9 L Nat Asp Flat-12,"385 bhp @ 6,300 rpm",361 lb/ft @ 4500 rpm,5.8 seconds,180 mph
81,Ferrari 512 TR,https://www.supercars.net/blog/category/brand/ferrari/ferrari-512-tr,1991 - 1994,"2,261 units",4.9 L Nat Asp Flat-12,422 bhp @ 6750 rpm,362 lb/ft @ 5500 rpm,4.8 seconds,195 mph
82,Ferrari F512 M,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-testarossa/ferrari-f512-m/,1994 - 1996,501 units,4.9 L Nat Asp Flat-12,"434 bhp @ 6,750 rpm",370 lb/ft @ 5500 rpm,4.7 seconds,196 mph
83,Ferrari 348 TB,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-348/ferrari-348-tb/,1989 - 1993,"2,895 units",3.4 L Nat Asp V8,296 bhp @ 7200 rpm,238 lb/ft @ 4200 rpm,6.0 seconds,166 mph
84,Ferrari 348 TS,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-348/ferrari-348-ts/,1989 - 1993,"4,230 units",3.4 L Nat Asp V8,296 bhp @ 7200 rpm,238 lb/ft @ 4200 rpm,46.0 seconds,166 mph
85,Ferrari 348 GTB,https://www.supercars.net/blog/category/brand/ferrari/ferrari-348-gtb/,1993 - 1995,252 units,3.4 L Nat Asp V8,316 bhp @ 7200 rpm,238 lb/ft @ 4200 rpm,5.4 seconds,174 mph
86,Ferrari 348 GTS,https://www.supercars.net/blog/category/brand/ferrari/ferrari-348-gts/,1993 - 1995,137 units,3.4 L Nat Asp V8,316 bhp @ 7200 rpm,238 lb/ft @ 4200 rpm,5.4 seconds,174 mph
87,Ferrari 348 Spider,https://www.supercars.net/blog/category/brand/ferrari/ferrari-348-spider/,1993 - 1995,"1,090 units",3.4 L Nat Asp V8,316 bhp @ 7200 rpm,238 lb/ft @ 4200 rpm,5.4 seconds,174 mph
88,348 Serie Speciale,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-348/ferrari-348-serie-speciale//,1992 - 1993,100 units,3.4 L Nat Asp V8,"312 bhp @ 7,200 rpm",238 lb/ft @ 4200 rpm,5.3 seconds,171 mph
89,Ferrari F355,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-f355/f355-berlinetta/,1994 - 1999,"3,829 units",3.5 L Nat Asp V8,"375 bhp @ 8,250 rpm",268 lb/ft @ 6000 rpm,4.7 seconds,183 mph
90,Ferrari F355 GTS,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-f355/ferrari-f355-gts/,1995 - 1999,"2,577 units",3.5 L Nat Asp V8,"375 bhp @ 8,250 rpm",268 lb/ft @ 6000 rpm,4.7 seconds,183 mph
91,Ferrari F355 Spider,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-f355/f355-spider/,1996 - 1999,"2,690 units",3.5 L Nat Asp V8,"375 bhp @ 8,250 rpm",268 lb/ft @ 6000 rpm,4.7 seconds,175 mph
92,Ferrari F355 F1,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-f355/f355-berlinetta/,1997 - 1999,"1,042 units",3.5 L Nat Asp V8,"375 bhp @ 8,250 rpm",268 lb/ft @ 6000 rpm,4.7 seconds,183 mph
93,Ferrari F355 F1 GTS,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-f355/ferrari-f355-gts/,1997 - 1999,529 units,3.5 L Nat Asp V8,"375 bhp @ 8,250 rpm",268 lb/ft @ 6000 rpm,4.7 seconds,183 mph
94,Ferrari F355 F1 Spider,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-f355/f355-spider/,1997 - 1999,"1,127 units",3.5 L Nat Asp V8,"375 bhp @ 8,250 rpm",268 lb/ft @ 6000 rpm,4.7 seconds,175 mph
95,Ferrari 456 GT,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-456/,1992 - 1997,"1,548 units",5.5 L Nat Asp V12,436 bhp @ 4500 rpm,406 lb/ft @ 4250 rpm,5.2 seconds,186 mph
96,Ferrari 456 GTA,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-456/,1993 - 1997,403 units,5.5 L Nat Asp V12,436 bhp @ 4500 rpm,406 lb/ft @ 4250 rpm,5.2 seconds,186 mph
97,Ferrari 456M GT,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-456/,1998 - 2003,688 units,5.5 L Nat Asp V12,442 bhp @ 6250 rpm,406 lb/ft @ 4500 rpm,5.0 seconds,186 mph
98,Ferrari 456M GTA,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-456/,1998 - 2003,650 units,5.5 L Nat Asp V12,442 bhp @ 6250 rpm,406 lb/ft @ 4500 rpm,5.0 seconds,186 mph
99,Ferrari 456M GT Scaglietti,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-456/ferrari-456m-gt-scaglietti/,2002 - 2003,30 units,5.5 L Nat Asp V12,442 bhp @ 6250 rpm,406 lb/ft @ 4500 rpm,5.0 seconds,186 mph
100,Ferrari 550 Maranello,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-550/ferrari-550-maranello/,1996 - 2002,"3,083 units",5.5 L Nat Asp V12,"478 bhp @ 7,000 rpm",419 lb/ft @ 5000 rpm,4.4 seconds,199 mph
101,Ferrari 550 Barchetta,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-550/ferrari-550-barchetta/,2001,448 units,5.5 L Nat Asp V12,"478 bhp @ 7,000 rpm",419 lb/ft @ 5000 rpm,4.4 seconds,186 mph
102,Ferrari 575M Maranello,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-575/ferrari-575m-maranello/,2002 - 2006,"2,056 units",5.7 L Nat Asp V12,"508 bhp @ 7,250 rpm",434 lb/ft @ 5250 rpm,4.2 seconds,202 mph
103,Ferrari 612 Scaglietti,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-612/ferrari-612-scaglietti/,2004 - 2010,"3,025 units",5.7 L Nat Asp V12,533 bhp @ 7250 rpm,434 lb/ft @ 5250 rpm,4.0 seconds,199 mph
