Model Name;More Info;Years;Cost;Production;Engine;Power;Torque;0-60 mph;Top Speed;Engine displacement;Engine configuration;Start Year;Power BHP;Top Speed [km/h];Torque [Nm];Cylinder count
Ferrari 208 GTS;https://www.supercars.net/blog/category/brand/ferrari/ferrari-208-gts/;1980 - 1981;;140 units;2,0 L Nat Asp V8;153 bhp @ 6800 rpm;125 lb/ft @ 4200 rpm;6.8 seconds;134 mph;2;V8;1980;153;215,65;169,48;8
Ferrari 308 GTBi;https://www.supercars.net/blog/category/brand/ferrari/ferrari-308-gtbi/;1980 - 1983;;494 units;2,9 L Nat Asp V8;214 bhp @ 6600 rpm;179 lb/ft @ 4600 rpm;N/A;149 mph;2,9;V8;1980;214;239,79;242,69;8
Ferrari 308 GTSi;https://www.supercars.net/blog/category/brand/ferrari/ferrari-308-gtsi/;1980 - 1983;;1,743 units;2,9 L Nat Asp V8;214 bhp @ 6600 rpm;179 lb/ft @ 4600 rpm;N/A;149 mph;2,9;V8;1980;214;239,79;242,69;8
Ferrari 208 GTB Turbo;https://www.supercars.net/blog/category/brand/ferrari/ferrari-208-gtb-turbo/;1982 - 1985;;437 units;2,0 L Turbo V8;217 bhp @ 7000 rpm;177 lb/ft @ 4800 rpm;6.6 seconds;150 mph;2;V8;1982;217;241,40;239,98;8
Ferrari 208 GTS Turbo;https://www.supercars.net/blog/category/brand/ferrari/ferrari-208-gts-turbo/;1982 - 1985;;250 units;2,0 L Turbo V8;217 bhp @ 7000 rpm;177 lb/ft @ 4800 rpm;6.6 seconds;150 mph;2;V8;1982;217;241,40;239,98;8
Ferrari 308 GTB Quattrovalvole;https://www.supercars.net/blog/category/brand/ferrari/ferrari-308-gtb-quattrovalvole/;1982 - 1985;;748 units;2,9 L Nat Asp V8;237 bhp @ 7000 rpm;191 lb/ft @ 5000 rpm;6.7 seconds;156 mph;2,9;V8;1982;237;251,06;258,96;8
Ferrari 308 GTS Quattrovalvole;https://www.supercars.net/blog/category/brand/ferrari/ferrari-308-gts-quattrovalvole/;1982 - 1985;;3,042 units;2,9 L Nat Asp V8;237 bhp @ 7000 rpm;191 lb/ft @ 5000 rpm;6.7 seconds;156 mph;2,9;V8;1982;237;251,06;258,96;8
Ferrari 288 GTO;https://www.supercars.net/blog/category/brand/ferrari/ferrari-288-gto/;1984 - 1987;;272 units;2,9L twin-turbo V8;394 bhp @ 7,000 rpm;366 lb/ft @ 3800 rpm;4.8 seconds;189 mph;2,9;V8;1984;394;304,17;496,23;8
Ferrari 328 GTB;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-208-308-328/ferrari-328-gtb/;1986 - 1989;;1,344 units;3,2 L Nat Asp V8;270 bhp @ 7000 rpm;231 lb/ft @ 5500 rpm;5.5 seconds;166 mph;3,2;V8;1986;270;267,15;313,19;8
Ferrari 328 GTS;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-208-308-328/ferrari-328-gts/;1986 - 1989;;6,068 units;3,2 L Nat Asp V8;270 bhp @ 7000 rpm;231 lb/ft @ 5500 rpm;5.5 seconds;166 mph;3,2;V8;1986;270;267,15;313,19;8
Ferrari GTB Turbo;https://www.supercars.net/blog/category/brand/ferrari/ferrari-gtb-turbo/;1986 - 1989;;N/A;2,0 L Turbo V8;251 bhp @ 6500 rpm;242 lb/ft @ 4100 rpm;6.3 seconds;157 mph;2;V8;1986;251;252,67;328,11;8
Ferrari GTS Turbo;https://www.supercars.net/blog/category/brand/ferrari/ferrari-gts-turbo/;1986 - 1989;;N/A;2,0 L Turbo V8;251 bhp @ 6500 rpm;242 lb/ft @ 4100 rpm;6.3 seconds;157 mph;2;V8;1986;251;252,67;328,11;8
Ferrari Mondial 8;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-mondial/ferrari-mondial-8/;1981 - 1982;;703 units;3,0 L Nat Asp V8;214 bhp @ 6600 rpm;181 lb/ft @ 4600 rpm;9.4 seconds;143 mph;3;V8;1981;214;230,14;245,40;8
Ferrari Mondial QV;https://www.supercars.net/blog/category/brand/ferrari/ferrari-mondial-quattrovalvole;1982 - 1985;;1145 units;3,0 L Nat Asp V8;237 bhp @ 7000 rpm;191 lb/ft @ 5000 rpm;7.4 seconds;150 mph;3;V8;1982;237;241,40;258,96;8
Ferrari Mondial Cabriolet;https://www.supercars.net/blog/category/brand/ferrari/ferrari-mondial-quattrovalvole-cabriolet;1983 - 1985;;629 units;3,0 L Nat Asp V8;237 bhp @ 7000 rpm;191 lb/ft @ 5000 rpm;7.4 seconds;150 mph;3;V8;1983;237;241,40;258,96;8
Ferrari 3.2 Mondial;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-mondial/ferrari-3-2-mondial/;1985 - 1988;;987 units;3,2 L Nat Asp V8;270 bhp @ 7000 rpm;224 lb/ft @ 5500 rpm;7.4 seconds;155 mph;3,2;V8;1985;270;249,45;303,70;8
Ferrari 3.2 Mondial Cabriolet;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-mondial/ferrari-3-2-mondial/;1985 - 1988;;810 units;3,2 L Nat Asp V8;270 bhp @ 7000 rpm;224 lb/ft @ 5500 rpm;7.4 seconds;155 mph;3,2;V8;1985;270;249,45;303,70;8
Ferrari Mondial T;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-mondial/ferrari-mondial-t/;1989 - 1993;;858 units;3,4 L Nat Asp V8;300 bhp @ 7200 rpm;238 lb/ft @ 4200 rpm;6.6 seconds;159 mph;3,4;V8;1989;300;255,89;322,68;8
Ferrari Mondial T Cabriolet;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-mondial/ferrari-mondial-t/;1989 - 1993;;1,017 units;3,4 L Nat Asp V8;300 bhp @ 7200 rpm;238 lb/ft @ 4200 rpm;6.6 seconds;159 mph;3,4;V8;1989;300;255,89;322,68;8
Ferrari Testarossa;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-testarossa/testarossa/;1984 - 1991;;7,177 units;4,9 L Nat Asp Flat-12;385 bhp @ 6,300 rpm;361 lb/ft @ 4500 rpm;5.8 seconds;180 mph;4,9;Flat-12;1984;385;289,68;489,45;12
Ferrari 512 TR;https://www.supercars.net/blog/category/brand/ferrari/ferrari-512-tr;1991 - 1994;;2,261 units;4,9 L Nat Asp Flat-12;422 bhp @ 6750 rpm;362 lb/ft @ 5500 rpm;4.8 seconds;195 mph;4,9;Flat-12;1991;422;313,82;490,81;12
Ferrari F512 M;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-testarossa/ferrari-f512-m/;1994 - 1996;;501 units;4,9 L Nat Asp Flat-12;434 bhp @ 6,750 rpm;370 lb/ft @ 5500 rpm;4.7 seconds;196 mph;4,9;Flat-12;1994;434;315,43;501,65;12
Ferrari 348 TB;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-348/ferrari-348-tb/;1989 - 1993;;2,895 units;3,4 L Nat Asp V8;296 bhp @ 7200 rpm;238 lb/ft @ 4200 rpm;6.0 seconds;166 mph;3,4;V8;1989;296;267,15;322,68;8
